category	source Text	page name	slug	input status	image status	existing page	index registrations	sitemap entries	target gate	blocker	next action	operational source
area	Text_area_data/分類_20260716_115215/09_作成済み/荒田.txt	鹿児島市荒田で呼べるデリヘル subtitle_h1 こんにちは、アッキー店長です。<改行> 鹿児島のデリヘル「キャンディ」グループは「荒田」にも敏速・スムーズに対応しております！ description_h1 荒田にある「麺屋 はる」にはよく行きます！まぜそばが最高です！荒田は、街の鼓動と生活の近さが同居していて、歩くだけで気分が整うエリアです。市電が行き交う通りにはお店や飲食店が点在し、必要なものがさっと揃う便利さがあります。一方で、一本裏へ入ると住宅街の落ち着きが広がり、騒がしさよりも「暮らしの空気」がしっかり残っています。鹿児島中央駅方面にも天文館方面にも動きやすく、移動のしやすさが日々の負担を軽くしてくれるのも魅力です。	arata	COMPLETE	OK (2/2)	COMPLETE	1	1	EXISTING	NONE	Use the category specification when changing the existing page	CANDY_AREA_105_PAGE_QUEUE.md
area	Text_area_data/分類_20260716_115215/01_間違い無し/中央町_テンプレート.txt	鹿児島市中央町で呼べるデリヘル subtitle_h1 中央町は、鹿児島市の中でも、便利さと食事の満足度がかなり高い密度で重なっている町だと思います。鹿児島中央駅を中心に、新幹線、在来線、市電、バスが集まるので、どうしても移動のための町という印象が先に立ちやすいです。実際に急いでいる時は、改札を抜けて、そのまま目的地へ向かうだけで終わってしまうことも多いですよね。でも、この町の本当の面白さは、少し立ち止まった時にかなり出てきます。 description_h1 たとえば黒かつ亭 中央駅本店の上ロースかつは、赤身のやわらかさと脂身のやさしい甘みがしっかり感じられて、脂身まで美味しいと思えるとんかつです。駅前でこの満足感があるだけでもかなり強いのに、その一方で焼肉 上畜のように、オープンキッチンが印象的で劇場型みたいなワクワク感を持った店まであります。頑張った時のご褒美にしたくなるという気持ちはすごく自然で、中央町に少し特別な時間の入口がある感じがいいんですよね。さらに中央町 貴よしのように、落ち着いた雰囲気の中で、丁寧な料理と盛り付け、カウンター越しの会話まで楽しめる店もあるので、この町は食事の温度差がかなり豊かです。がっつり満たされたい日もあれば、少し背筋を伸ばしたい夜もあるし、静かにゆっくり味わいたい時もある。中央町は、その全部を駅前の短い動線の中で受け止めてくれるんです。僕は中央町の魅力って、鹿児島の玄関口としての便利さに、ちゃんと人の記憶に残る食の時間が混ざっているところだと思います。急いで抜けるだけではもったいない。中央町は、立ち止まるほど印象が濃くなる町です。	chuocho	COMPLETE	OK (2/2)	NOT_STARTED	0	0	BLOCKED	Missing area index registration	Resolve missing data or the partial structure	CANDY_AREA_105_PAGE_QUEUE.md
area	Text_area_data/分類_20260716_115215/01_間違い無し/中山_テンプレート.txt	鹿児島市中山で呼べるデリヘル subtitle_h1 こんにちは！アッキー店長です<改行> 中山は、谷山北部の住宅地としての落ち着きと、日常を支える動きやすさがきれいに重なっている地域です。見た目だけなら静かな住宅地に見えるのですが、実際には幹線道路側に食事や買い物の流れがあり、少し中へ入れば家並みの安心感がしっかりあるので、暮らしの密度がちょうどいいんです。昔の農地やみかん畑が住宅地へ変わっていった地域の流れを持つこともあって、ただ新しいだけではない、住むために整えられてきた町の厚みも感じます。 description_h1 僕自身、このあたりは長いこと通過点の一つとして見ていました。けれど、ちゃんと止まって寄り道するところを探すようになってから印象が変わりました。本格インド料理 SURYODAYA(スリョダヤ)では、ナンとタンドリーチキンを頼むと気分がしゃんとしますし、居酒屋むらおかでは豚足の満足感がしっかり残ります。焼肉 「桔梗 -KIKYO-」は少し良い夜を作りたい時にちょうどよくて、大根メッシュサラダの食感まで記憶に残ります。こういう店があることで、中山はただ便利な住宅地では終わらなくなるんですよね。しかも、どの店も中山団地や中山団地東のバス停を目印に動きやすく、近くへ来たついでに寄り道が成立します。中山小学校のある生活圏として見ると地域のまとまりもつかみやすく、初めてでも位置関係に戸惑いにくいです。中山の良さは、暮らしの町としてちゃんとしているのに、その途中に小さな楽しみを差し込めるところです。派手さでは勝負していませんが、通るだけでは気づかない魅力があります。一度でも足を止めると、次は何を理由に寄ろうかと考えたくなる。中山は、そんなふうに日常の中でじわっと好きになっていく地域です。	chuzan	COMPLETE	OK (2/2)	NOT_STARTED	0	0	BLOCKED	Missing area index registration	Resolve missing data or the partial structure	CANDY_AREA_105_PAGE_QUEUE.md
area	Text_area_data/分類_20260716_115215/01_間違い無し/中山町_テンプレート.txt	鹿児島市中山町で呼べるデリヘル subtitle_h1 こんにちは！アッキー店長です<改行> 中山町は、最初に見た時はかなり暮らしの町という印象が強い地域だと思います。道路が使いやすく、住宅地としてのまとまりもあり、日々の用事を回すにはかなり現実的です。しかも白山神社や鹿児島ふれあいスポーツランドのように、地域の芯になる場所もちゃんとあって、便利さだけでなく、町としての輪郭も見えやすいんですよね。でも、中山町の面白さはそこから先にあります。実際に何度か通ったり、ちゃんと食事をしたりすると、この町って便利な住宅地というだけでは片づかなくなってくるんです。 description_h1 僕にとってその代表が、焼肉の白川 中山店です。ここは焼肉を食べるためだけの店というより、子どものころからの記憶がつながっている場所で、大人になった今でもふと思い出して行きたくなります。中山町の中にそういう思い出の店があるだけで、町との距離が一気に近くなるんですよね。一方で、うりきれ御麺みたいに、名前に惹かれて入ってみた店が、そのまま定番の記憶に育つこともあります。味はもちろんおいしいですし、うどんが二玉まで同一価格というありがたさもあって、しっかり食べたい日にかなり頼れます。そして酒菜まえだのように、アッサリしているのにしっかり味がして、何となく落ち着く食事の時間をくれる店まである。こうなると、中山町はただ生活を回す町ではなく、気分や思い出まで受け止めてくれる町に見えてきます。中山町の良さは、特別な観光地みたいに大きく見せなくても、日常の中でちゃんと好きになる理由がいくつもあるところです。昔からの記憶を呼び戻してくれる店があり、何となく気になって入った店が好きな一軒に変わり、落ち着きたい日に思い出す味まである。こういう寄り道先が、住宅地としての便利さとちゃんと両立しているのが強いです。だから中山町は、通るたびに少しずつ自分の中の記憶が増えていく町なんだと思います。便利な町だったで終わるのではなく、また行きたくなる理由が残る。中山町は、そういう静かに強い魅力を持った地域です。	chuzancho	COMPLETE	OK (2/2)	NOT_STARTED	0	0	BLOCKED	Missing area index registration	Resolve missing data or the partial structure	CANDY_AREA_105_PAGE_QUEUE.md
area	Text_area_data/分類_20260716_115215/01_間違い無し/大黒町_テンプレート.txt	鹿児島市大黒町で呼べるデリヘル subtitle_h1 こんにちは！アッキー店長です<改行> 大黒町は、鹿児島市中心部の中でも、知る前と知った後で印象がかなり変わる町だと思います。いづろ通や天文館に近く、電停やバス停も使いやすいので、最初はただ便利なまちなかの一部に見えやすいです。けれど実際には、昔から下町の中心の一つとして商いの気配を積み重ねてきた土地で、今もその空気が完全には消えていません。そのうえで面白いのが、今の大黒町には食の表情がかなりきれいに分かれていることです。 description_h1 柿の木 いづろ店では、旨みそ味のラーメンのように、定期的に食べたくなる強い一杯でしっかり満たされます。一方でマテノコーヒーに入ると、今どきのカフェらしい軽やかさの中で、ふわふわのパンとほどよい塩味のバターが朝を整えてくれる。さらに夜は、あげ屋 一代のカウンターで、揚がる様子を目の前で見ながらコスパよく天ぷらを楽しめる時間まであります。つまりこの町は、同じエリアの中で、食事の温度や過ごし方をかなり変えられるんですよね。しかもその全部が、いづろ通電停やマルヤガーデンズを目印に動きやすい範囲に収まっている。小さな町なのに、がっつり食べたい日も、少し上品に始めたい日も、夜をちゃんと締めたい日も受け止めてくれる。僕は大黒町の魅力って、まちなかの便利さに、下町らしい人の体温と食の記憶がちゃんと残っているところだと思います。通り過ぎるだけでは薄く見えるのに、少し寄り道すると一気に印象が深くなる。そんな静かに強い町だと感じます。	daikokucho	COMPLETE	OK (2/2)	NOT_STARTED	0	0	BLOCKED	Missing area index registration	Resolve missing data or the partial structure	CANDY_AREA_105_PAGE_QUEUE.md
area	Text_area_data/分類_20260716_115215/01_間違い無し/大明丘_テンプレート.txt	鹿児島市大明丘で呼べるデリヘル subtitle_h1 こんにちは！アッキー店長です<改行> 大明丘は、鹿児島市北部の中でも、住宅地としてかなり筋の通った町だと思います。団地造成を土台に育ってきた地域なので、地図で見るとすごい造りだなと感じます。吉野台地側の高低差や空の抜け方があるので、平地のまちなかとは違って、どこか呼吸が深くなるような感覚もあります。最初は静かな住宅地という印象を持ちやすいのですが、実際にはそれだけで終わりません。 description_h1 たとえば鹿児島いいもの本舗 Rest逢夢のように、さつまいもを使ったプリンやパンで気分を上げてくれる存在があり、イベント会場で出会ってから近くに行くとつい買いに寄りたくなるような記憶が残ります。その一方で、やしおキッチンのように、ヘルシーおまかせ弁当やハンバーグ弁当、唐揚げ弁当など、美味しくて体にやさしいおかずが入ったお弁当で、疲れた日を少し立て直してくれる店もあります。飲み会続きの時にありがたいという感覚は、まさに生活の町にある店らしい価値ですよね。さらに大明公園のように、少し歩いて気持ちを落ち着けられる場所まであるので、大明丘は甘いもの、整える食事、静かな休憩という三つの流れを一つの町の中で作りやすいんです。観光地のような華やかさはなくても、日常の中でちょっと気分を立て直したり、少しうれしくなったりできる場所がある町はやっぱり強いです。僕は大明丘の魅力って、暮らしの安定感の中に、ちゃんと自分を回復させる小さな寄り道先が残っているところだと思います。静かなのに薄くない。大明丘は、そういう静かに強い魅力を持った地域です。	daimyogaoka	COMPLETE	OK (2/2)	NOT_STARTED	0	0	BLOCKED	Missing area index registration	Resolve missing data or the partial structure	CANDY_AREA_105_PAGE_QUEUE.md
area	Text_area_data/分類_20260716_115215/02_画像無し/大竜町_テンプレート.txt	鹿児島市大竜町で呼べるデリヘル subtitle_h1 こんにちは！アッキー店長です<改行> 大竜町は、鹿児島市の上町地区の中でも、歩いてみると想像以上に暮らしの表情が濃い町だと思います。鹿児島駅や国道10号に近いので、最初は便利な住宅地、あるいは通り道のように見えるかもしれません。でも実際には、その小さな町域の中に、上町らしい落ち着きと、日々をちゃんと満たしてくれる寄り道先が入っています。たとえば中国料理 珠海のように、本格的な中華を食べられる店があると、それだけで町の印象はかなり強くなります。特にかにチャーハンのように、ラーメン屋さんのチャーハンとはまた別の格で記憶に残る一皿があると、大竜町はただ便利な町では終わらなくなるんですよね。 description_h1 その一方で、大竜庵のような、穴場っぽくてふらっと行きたくなる居酒屋があるのもいいところです。大きく構えずに入れて、それでいて夜の時間がちゃんと良くなる店があると、町の温度が一気に人に近づきます。さらに、タイヨー 大竜店の存在はかなり大きいです。僕は大型スーパーが増えても、やっぱり近くにタイヨーがあるのは安心で、見かけるとつい入りたくなる。その感覚がある町は、羨ましくなります。大竜町は、食べて満足する時間もあれば、夜をゆるく整える時間もあり、明日の暮らしまでちゃんと回せる町なんです。歴史のある上町側の地域という背景はもちろんありますが、今の大竜町の魅力は、そういう日常の手触りの中にもかなり出ています。小さな町なのに、気分の置き場がちゃんとある。大竜町は、便利なだけでも、古いだけでもない、静かに使い勝手のいい魅力を持った地域だと思います。	dairyuucho	COMPLETE	OK (2/2)	NOT_STARTED	0	0	BLOCKED	Missing area index registration	Resolve missing data or the partial structure	CANDY_AREA_105_PAGE_QUEUE.md
area	Text_area_data/分類_20260716_115215/01_間違い無し/福山町_テンプレート.txt	鹿児島市福山町で呼べるデリヘル subtitle_h1 こんにちは！アッキー店長です<改行> 福山町は、鹿児島市の西側、松元地域の中でも、静かな景色の中に昔からの時間がきれいに残っている町だと思います。福山川に沿って田畑が続き、そのまわりを丘陵地が包むような形なので、最初は落ち着いた里の町という印象を持ちやすいかもしれません。けれど、実際にこの町を知っていくと、それだけでは終わらないことがよく分かります。 description_h1 たとえば、小長崎神社は福山町らしい静けさや土地の重なりを感じるのに、かなり分かりやすい場所です。古くから続く神社で、今も六月燈のような行事が残っていると知ると、この町の静けさがただの静けさではなく、長く守られてきたものだと見えてきます。一方で、福山上の里程標を見れば、今度は昔の人の移動や道の感覚がぐっと近くなる。明治の距離表示が残っているだけで、町の景色が急に過去とつながってくるんですよね。そして福山下の石橋まで目を向けると、福山町の景色の下に、田畑を支えるための具体的な工夫があったことまで分かってきます。水路を備えた石橋という存在だけでも、この町が自然の景色だけでできているのではなく、人が生活を積み重ねてきた場所だと伝わります。こうして見ると、福山町には静かな景色の中に、信仰の時間、道の記憶、暮らしの知恵が重なっています。普段は通り過ぎるだけで、特に気にも留めない町かもしれません。けれど、少し足を止めてみると、この町の奥行きが見えてきます。福山町の魅力は、そういう控えめなのに、ちゃんと深さがあるところだと思います。	fukuyamacho	COMPLETE	OK (2/2)	NOT_STARTED	0	0	BLOCKED	Missing area index registration	Resolve missing data or the partial structure	CANDY_AREA_105_PAGE_QUEUE.md
area	Text_area_data/分類_20260716_115215/01_間違い無し/船津町_テンプレート.txt	鹿児島市船津町で呼べるデリヘル subtitle_h1 こんにちは！アッキー店長です<改行> 船津町は、鹿児島市の中心部にかなり近いのに、ただの飲み屋街の一角では終わらない町だと思います。最初は天文館やいづろへ向かう途中の町として見てしまいがちですが、実際にはその中にちゃんと寄り道の魅力が入っているんですよね。たとえば、エズのようなアクセサリーショップがあります。お手頃なものから高級感のあるものまで幅広くそろっていて、作りが丁寧で細工の細かいシルバーアクセが多いから、見ているだけでもかなり楽しい。しかも、オーナーさんの知識が豊富で、いろんなことを教えてもらえるんです。 description_h1 食事処のおすすめも沢山あります。まずお酒が好きな方には漁菜 とび梅がおすすめです。焼酎や日本酒の品ぞろえが素晴らしくて、食事は大将に任せてしまえばもう安心。その日の仕入れに合わせて、ちゃんと満足できるものを出してもらえるので、今日は少し丁寧に食べたいという気分にかなり合います。そして、最後を気持ちよく締めたい時には、薩摩おばんざいと鶏飯の店 のん花があります。おばんざいの楽しさもいいのですが、やっぱり鶏飯がかなりおすすめ。好きでも自分ではなかなか作らない料理だからこそ、こういう店でおいしく食べられるとうれしいんですよね。しかも締めとしてちょうどよくて、一度行くと行きつけになってしまいます。チャチャっと食事を済ませたい日は麺屋ろるの鴨だしラーメンを食べたくなる。鴨の香り、香ばしい焦がしたネギが、食欲をそそり、 スープも一滴残らず飲み干してしまうほど美味しい。こうして見ると、船津町は、始まりから終わりまで気分に合わせて選べる町なんです。見て楽しむ時間があり、任せて安心できる食事があり、最後をやさしく整える一杯まである。普段は通り過ぎるだけで特に気にも留めない町かもしれません。でも少し寄り道してみると意外な楽しさや美味しさが詰まっている町だと思います。	funatsucho	COMPLETE	OK (2/2)	NOT_STARTED	0	0	BLOCKED	Missing area index registration	Resolve missing data or the partial structure	CANDY_AREA_105_PAGE_QUEUE.md
area	Text_area_data/分類_20260716_115215/09_作成済み/祇園之洲町_テンプレート.txt	鹿児島市祇園之洲町で呼べるデリヘル subtitle_h1 こんにちは！アッキー店長です<改行> 祇園之洲町は、中心部や鹿児島駅周辺、ウォーターフロントをつなぐ動きの中にある町です。景色と余白が価値になる地域です。潮の匂いと風の抜け方が感じ方を変え、同じ気温でも歩きやすく、気持ちが詰まりにくい空気があります。僕にとって祇園之洲町といえば、祇園之洲公園です。街中で歩くより呼吸が深くなり、ウォーキングやジョギングをしても頑張っている感じが出にくいのに、気づけば距離が伸びているのがこの場所の良さです。 description_h1 運動を目的にしてもいいし、整えるために歩いてもいい。どちらでも受け止めてくれる柔らかさがあります。もうひとつの楽しみは、Monkey Wrenchのように濃い時間を持てる店があることです。お店の外観に惹かれて入ってみたら、オーナーさんは一見強面でも、話すとフレンドリーで、アメカジとアメリカンバイクの知識がかなり豊富で驚きました。好きなことを極める姿に感銘を受け、僕も没頭できるものを見つけたいと素直に思いました。この町は、海の余白と人の営みの距離が近い町です。車なら国道10号線バイパス側から入りやすく、祇園之洲大橋が目印になって迷いにくいのも助かります。予定を詰め込まず、まずは公園で少し歩く。余裕があれば景色の良い場所や店の時間を足す。そのくらいの使い方がいちばん似合います。祇園之洲町は、忙しい日常の端にそっと余白を置ける、海辺の落ち着きが残る場所です。	gionnosucho	COMPLETE	OK (2/2)	COMPLETE	1	1	EXISTING	NONE	Use the category specification when changing the existing page	CANDY_AREA_105_PAGE_QUEUE.md
